id,source,split,topic,question,short_answer,evidence,options,correct_answer
casimedicos_402_183,CasiMedicos,train,PRIMARY CARE AND SOCIAL NETWORKS,"Caso clinico: Juan, residente de segundo año, atiende en urgencias a Sofia, una muchacha de 15 años que, al parecer, se ha desmayado en la escuela sin llegar a perder la conciencia. La paciente cuenta que estaba pendiente de realizar un examen, lo que le causaba mucha ansiedad. Por el interrogatorio, parece entreverse una situación de cierto acoso por parte de sus compañeros y la posibilidad de que sufra un trastorno alimentario. Las constantes vitales y exploración neurológica son normales. Juan mantiene a Soﬁa en observación a la espera de que sus padres acudan al servicio echando, periódicamente, una ojeada a cómo se encuentra la paciente. Tras el susto inicial, la paciente parece encontrarse cada vez más animada y es muy simpática. En una ocasión, Juan la encuentra chateando activamente con su móvil. Juan le indica que sería mejor que dejase el móvil y descansase y para tranquilizarla, le cuenta que el también utiliza mucho las redes sociales desde la facultad. Soﬁa pide perdón por desconocer que tenía que tener el móvil apagado, y tras apagarlo, le pregunta si podrá hacerle una solicitud de amistad en Facebook. ¿Cuál cree que es la mejor respuesta de Juan?","Contestarle que es importante mantener unos ciertos limites profesionales entre pacientes y facultativos y que, desafortunadamente, si hace la petición no podrá aceptarla, por lo que mejor que no lo haga.","Es indudable que la relación médico-paciente hoy día trasciende el entorno físico de la consulta. Pero no debemos olvidar que debemos mantener en ella los mismos códigos éticos y profesionales que en el entorno real. El ejercicio clínico de la medicina mediante consultas exclusivamente por carta, teléfono, radio, prensa o internet, es contrario a las normas deontológicas. La actuación correcta implica ineludiblemente el contacto personal y directo entre el médico y el paciente.","{'1': 'Decirle que haga la solicitud de amistad y que la aceptará, pues está seguro de que en su página no hay elementos inapropiados para una chica de la edad de Soﬁa.', '2': 'Dado que considera a Soﬁa una paciente vulnerable y le preocupa que pueda interpretar mal un rechazo, aceptar que haga la solicitud pero solamente permitirle el acceso a determinados contenidos de su página.', '3': 'Contestarle que es importante mantener unos ciertos limites profesionales entre pacientes y facultativos y que, desafortunadamente, si hace la petición no podrá aceptarla, por lo que mejor que no lo haga.', '4': 'Decirle que haga la petición pero sin intención de aceptarla.', '5': 'nan'}",3
casimedicos_237_144,CasiMedicos,train,NEUROLOGY,Caso clinico: Tras un accidente de tráfico un paciente de 38 años ingresa en UCI en coma. Tras varios días el paciente no mejora neurológicamente y en la TAC se visualizan lesiones puntiformes hemorrágicas en cuerpo calloso y en unión córtico-subcortical. ¿Cuál es su diagnóstico?,Lesión axonal difusa grave.,"La lesión axonal difusa produce un deterioro precoz y mantenido del nivel de conciencia (como comenta el enunciado del caso) sin que haya en el TC una lesión que justifique el cuadro. En ocasiones, se evidencia en esta prueba de imagen hemorragias puntiformes a nivel del cuerpo calloso, unión corticosubcortical y porción dorsolateral del tronco encefálico.","{'1': 'Hematoma subdural agudo.', '2': 'Púrpura trobocitopénica.', '3': 'Contusión hemorrágica cerebral.', '4': 'Lesión axonal difusa grave.', '5': 'Encefalopatía hipóxico-isquémica.'}",4
casimedicos_253_86,CasiMedicos,train,DIGESTIVE TRACT,"Caso clinico: Mujer de 37 años afecta de una colitis ulcerosa extensa, presenta un brote grave por el que se inicia tratamiento con prednisona en dosis de 1 mg/kg. Tras una semana de tratamiento, la paciente no presenta mejoría. ¿Cuál es la siguiente medida terapéutica a realizar?",Ciclosporina endovenosa 2mg/kg.,Cuando un brote grave no responde a corticoterapia iv a dosis plenas (1mg/kg de peso) hay que pasar a ciclosporina o infliximab. Etanercept no está aprobado en Europa para la enfermedad inflamatorio intestinal (de momento).,"{'1': 'Colectomía subtotal de urgencia y en un segundo tiempo prostectomía y reservorio ileoanal.', '2': 'Asociar un inmunosupresor como azatioprina.', '3': 'Asociar mesalazina en dosis de 4g al día oral y triamcinolona rectal 1 aplicación cada 12 horas.', '4': 'Ciclosporina endovenosa 2mg/kg.', '5': 'Debe valorarse el tratamiento con etanercept (un anticuerpo anti-TNFa).'}",4
casimedicos_224_63,CasiMedicos,train,CARDIOLOGY,"Caso clinico: Paciente de 52 años de edad que refiere disnea de medianos esfuerzos desde hace 6 meses. No ha presentado angina ni síncopes. La exploración física y las pruebas diagnósticas demuestran la existencia de un gradiente transvalvular aórtico medio de 55 mmHg y un área calculada de 0,7 cm². Fracción de eyección del 65%. ¿Un homoinjerto?",Sustitución de la válvula aórtica por una prótesis/bioprótesis.,"Algo aórtico. Me dan un gradiente, que sin saber los valores parece algo alto (¡55 mmHg!) y el área, que a ojo se ve chiquitín: esto va a ir de estenosis aórtica… Y tiene disnea. Estenosis aórtica sintomática, ¿querrá el examinador que le mande a operar? Indicación quirúrgica. Si hacemos la 1 le quitamos esperanza de vida, porque permitimos que el ventrículo claudique. La 2 está desfasada: ¿valvuloplastia con balón? Sólo si el riesgo quirúrgico es inasumible, y en ese caso haríamos la 5, implante de una TAVI (ver [1]). Pero se trata de un hombre de 52 castañas, que asumimos que tiene buena carrocería porque camina para tener disnea. Así que a quirófano. Eso es la técnica de Ross, le quito la pulmonar y se la pongo donde la aórtica. Pero es raro, complejo y sólo se hace en pediátricos. Lo correcto es la 3, sin duda: sustituir por una prótesis, preferiblemente mecánica a no ser que el paciente tenga contraindicación para la anticoagulación.","{'1': 'Diuréticos y controles más frecuentes por un especialista.', '2': 'En caso de aumentar la disnea de esfuerzo, debe practicarse una dilatación percutánea de la válvula aórtica con catéter de balón.', '3': 'Sustitución de la válvula aórtica por una prótesis/bioprótesis.', '4': 'Sustitución de la válvula aórtica por un homoinjerto.', '5': 'Implante de una válvula percutánea.'}",3
casimedicos_430_115,CasiMedicos,train,INFECTIOUS DISEASES AND MICROBIOLOGY,"Caso clinico: Mujer de 65 años, sometida a trasplante de precursores hematopoyétlcos hace 30 dias y neutropenia grave. Comienza con tos y expectoración hemoptoica además de fiebre y disnea de moderados esfuerzos que no mejora a pesar de cinco días de tratamiento con amoxicilina-clavulánico (875/125 mg/8 h) y levofloxacino (500 mg/12 h). En la radiografía de tórax se observan múltiples nódulos pulmonares mal definidos, alguna de ellos cavitado. De entre los siguientes, ¿cual es el diagnóstico de sospecha más probable?",Aspergilosis pulmonar invasiva.,"Paciente en su día 30 post-transplante de precursores hematopoyéticos, en neutropenia grave que acude por tos con expectoración hemoptoica. Este cuadro usualmente se aprecia en la infección por Aspergillus spp. Podemos descartar la infección por Staphylococcus aureus por el tratamiento previo, aunque no sabemos si plantea la respuesta también un posible MRSA.","{'1': 'Embolismos sépticos.', '2': 'Aspergilosis pulmonar invasiva.', '3': 'Neumonía por Staphylococcus aureus.', '4': 'Candidiasis sistémica.', '5': 'nan'}",2
casimedicos_11_74,CasiMedicos,train,SURGERY,"Caso clinico: Diez días después de practicarle una hemitiroidectomía a un paciente con un nódulo tiroideo de 1,5 cm recibe el siguiente informe anatomopatológico: “patrón folicular muy celular sin invasión capsular y que infiltra vasos sanguíneos y nervios adyacentes”. CORRECT ANSWER: 3",Se trata de un carcinoma folicular y requiere completar la tiroidectomía.,"Creo que la respuesta correcta es la 3 las respuestas 2,4 y 5 son claramente falsas. La duda se produce entre la 1 y la 2. El enunciado de la 1 es correcto en casos de carcinoma folicular sin invasión capsular puede en realizarse una tiroidectomía total. Pero si existen datos de mal pronóstico y la posibilidad de metástasis-como en este caso-lo mejor es completar la tiroidectomía y realizar un rastreo con Iodo radioactivo para descartar metástasis o tratarlas si están presentes.","{'1': 'Como no existe invasión capsular no es necesaria más cirugía.', '2': 'El patrón folicular es indicación de vaciamiento ganglionar cervical profiláctico.', '3': 'Se trata de un carcinoma folicular y requiere completar la tiroidectomía.', '4': 'El informe permite descartar con total seguridad un carcinoma papilar en el tiroides remanente.', '5': 'La medición de calcitonina plasmática permitirá distinguir entre carcinoma papilar y folicular.'}",3
casimedicos_535_121,CasiMedicos,train,RHEUMATOLOGY,"Caso clinico: Mujer de 27 años de raza negra que consulta por la aparición de edemas en miembros inferiores, disminución de diuresis, fiebre y un rash malar en alas de mariposa de 20 días de evolución. Analíticamente destaca creatinina 3 mg/dl, leucopenia, hemoglobina 10,5 g/dl (normocítica normocrómica), PCR 9 mg/dl y VSG 60 mm. Otra pregunta sobre los anticuerpos del LES.",Los anti-ADN bicatenario o nativo se correlacionan con el riesgo de nefritis.,"Caso clínico de LES con afectación renal, en el que los anti-ADN bicatenario positivos aumentan el riesgo de nefritis. En cuanto al resto, los anti-Sm son específicos del LES, los ANA se detectan en más del 90% de los casos, y los anti-centrómero son típicos de la esclerodermia.","{'1': 'Los anti-Sm no son específicos de esta patología.', '2': 'Los anticuerpos anticentrómero se detectan en el 90% de los casos.', '3': 'Los ANA (anticuerpos antinucleares) se detectan en el 50% de los casos.', '4': 'Los anti-ADN bicatenario o nativo se correlacionan con el riesgo de nefritis.', '5': 'nan'}",4
casimedicos_452_149,CasiMedicos,train,NEUROLOGY,"En una mujer con una crisis epiléptica que presenta las siguientes características clínicas: aura epigástrica, olor desagradable, desconexión del medio, automatismos motores (chupeteo, deglución, apertura y cierre de una mano) y amnesia postcritica, ¿cual es su sospecha diagnóstica?",Crisis parcial compleja del lóbulo temporal.,"Claramente la respuesta es la 4, con una clínica muy característica de crisis temporales.","{'1': 'Crisis generalizada no convulsiva o ausencia tipica.', '2': 'Epilepsia parcial continua.', '3': 'Crisis amiotónica.', '4': 'Crisis parcial compleja del lóbulo temporal.', '5': 'nan'}",4
casimedicos_55_74,CasiMedicos,train,ENDOCRINOLOGY,Me parece una pregunta un poco más difícil ya que hay que tener conceptos claros de anatomía patológica.,Se trata de un carcinoma folicular y requiere completar la tiroidectomía.,"De todas formas, se podría sacar por exclusión y por la forma en la que se expresan las respuestas: Respuesta 2: el vaciamiento profiláctico está indicado en el medular. Respuesta 4: simplemente por la forma de expresarla ya se debería haber descartado. Respuesta 5: ya sabéis que la calcitonina se utiliza en el carcinoma medular y no en el diferenciado. Las respuestas 1 y 3 son contrarias, una recomienda completar la tiroidectomía y otra no. En los únicos que no se recomienda tiroidectomía completa son los microcarcinomas que midan menos de 1 cm.","{'1': 'Como no existe invasión capsular no es conveniente realizar más cirugía.', '2': 'El patrón folicular es indicación de vaciamiento ganglionar cervical profiláctico.', '3': 'Se trata de un carcinoma folicular y requiere completar la tiroidectomía.', '4': 'El informe permite descartar un carcinoma papilar con total seguridad en el tiroides remanente.', '5': 'La medición de la calcitonina plasmática nos permitirá diferenciar entre un carcinoma papilar y folicular.'}",3
casimedicos_281_33,CasiMedicos,train,PATHOLOGICAL ANATOMY,Caso clinico: Mujer de 67 años diagnosticada de un carcinoma ductal infiltrante de mama y sin historia familiar de neoplasia. ¿Qué estudios adicionales deben realizarse en el tumor por sus implicaciones clínico-terapéuticas?,Estudio de receptores hormonales y de HER2.,"La respuesta correcta sería la 2, ESTUDIO DE RECEPTORES HORMONALES Y DE HER2 ya que unos receptores positivos para HER2 implican una mayor agresividad del tumor pero tratamiento con trastuzumab y unos receptores hormonales positivos implicarían la utilización de hormonoterapia. La respuesta 1 es descartable de visu, mientras que la 3 y la 4 debieran descartarse ya que al tratarse de la primera mujer en la familia con carcinoma de mama, no sería obligado el estudio de los familiares de la paciente.","{'1': 'Estudio fenotípico completo mediante citometría de flujo.', '2': 'Estudio de receptores hormonales y de HER2.', '3': 'Estudio de receptores hormonales, e-cadherina y estudio de familiares de primer grado.', '4': 'Estudio de BRCA 1-2 y estudio de familiares de primer grado.', '5': 'nan'}",2
