id,source,split,guidebook,topic,question,short_answer,evidence,subquestion,options,correct_answer,year,correct_option
sns1064_00000,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da galphimia glaukoaren eraginkortasuna eta segurtasun konparatua lorazepamaren aurrean?",c) Zein da ziurtasun globala efektuei buruzko ebidentzian?,Oso baxua da.,"Ebidentziaren kalitate globala oso baxutzat jo zen glauko galphimiaren 350-700 g/d dosirako eta 700 g/d dosirako. Aztertutako bi azterketetan, informazioa ez da nahikoa parte-hartzaileen hautaketa-eremuetan eta parte-hartzaileek informatutako emaitzen domeinuetan iritzia emateko. Horrez gain, azterketa batean (219), desertzio-eremuak alborapen-arrisku handia du, ez baitziren Paktu balio zehatzen berri eman, ez eta ebaluazio-puntuetarako aurrez zehaztutako emaitza guztien berri ere.",,,,,
sns1064_00001,SNS1064,train,ansiedad.txt,"OTA duten helduetan, zein da onarpen- eta konpromiso-terapiaren eraginkortasuna eta segurtasun konparatua?","h) Esku-hartzearen kostua-eraginkortasuna, esku-hartzeari laguntzen al dio?",Ezezaguna da.,Galderari erantzungo zioten azterlanik ez zen identifikatu.,,,,,
sns1064_00004,SNS1064,train,ansiedad.txt,"AOT duten helduetan, zein da kontrolarekiko erresistentziako ariketa fisikoko programen eraginkortasuna eta segurtasun konparatua?",k) Aukera inplementa daiteke?,Seguruenik ez.,"Gaur egun ez dago AOT duten pazienteen ariketa sustatzeko estrategia nazionalik. Proposamenak urriak eta indibidualak dira. Ariketa fisikoko programak erabiltzeko gomendioa behar bezala inplementatzeko, aditu-talde bat eduki beharko litzateke horiek gauzatzeko eta entrenamendurako materiala (prentsa, press-makina, banka, pisuak, etab.).",,,,,
sns1064_00005,SNS1064,train,ansiedad.txt,"OTA duten helduetan, zein da onarpen- eta konpromiso-terapiaren eraginkortasuna eta segurtasun konparatua?",i) Zein izango litzateke ekitateak osasunean izango lukeen eragina?,Seguruenik murriztua.,"Espainian, psikiatriako, psikologiako, gizarte-laneko eta beste zerbitzu batzuetarako deribazioa oso aldakorra da kasuen arabera. Sarbide-ezberdintasun hori ez dirudi irizpide klinikoetan oinarritzen denik, baizik eta, seguruenik, zerbitzuetara sartzeko lurralde-desberdintasunetan. Proiektu pilotu batzuk daude APn (Kanarietan, Katalunian, Madrilen edo Asturiasen) psikologia klinikoko profesionalaren presentzia ezartzeko.",,,,,
sns1064_00006,SNS1064,train,ansiedad.txt,Zeintzuk dira AOT duten pazienteak osasun mentalean espezializatutako arretara bideratzeko irizpideak?,f) Zein da eskatutako baliabideen magnitudea (kostuak)?,Kostuak eta kostuen murrizketa hutsalak.,"Galderari erantzungo zioten azterlanik ez zen identifikatu, eta GAGk ondorioztatu zuen gomendio horiek ezartzeak ez zuela kostu gehigarririk sortuko, puntu horiek gaur egungo praktika izan beharko bailukete.",,,,,
sns1064_00007,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da buspironak plazeboaren aurrean duen eraginkortasuna eta segurtasun konparatua?","h) Esku-hartzearen kostua-eraginkortasuna, esku-hartzeari laguntzen al dio?",Ezezaguna da.,Ez zen identifikatu buspirona plazeboarekin edo ohiko zainketekin konparatzeko ebaluazio ekonomikorik. LEHEN ARRETA NAGUSI NAGUSIAREN TRATAMENDURAKO GPC 109,,,,,
sns1064_00008,SNS1064,train,ansiedad.txt,"OTA duten helduetan, zein da onarpen- eta konpromiso-terapiaren eraginkortasuna eta segurtasun konparatua?",f) Zein da eskatutako baliabideen magnitudea (kostuak)?,Kostu moderatuak.,"LEHEN ARRETARAKO ANTSIEDAD OROKORRA TRATATZEKO KPI 65 Onarpen- eta konpromiso-terapia baten kostua ohiko TCC baten kostuaren antzekoa izango litzateke. Euskal Autonomia Erkidegoan, bai taldeko psikoterapiak, bai banakakoak, 124 -ko kostu unitarioa dute (108). Beraz, 8-12 saioko TCC-i batek 992  eta 1488  arteko kostua izango luke paziente bakoitzeko. Gainerako autonomia-erkidegoek ez dute banakako eta taldeko psikoterapiaren kostua ematen.",,,,,
sns1064_00009,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da terapia psikodinamikoaren eraginkortasuna eta segurtasun konparatua?",c) Zein da ziurtasun globala efektuei buruzko ebidentzian?,Baja ematen du.,"Ebidentziaren kalitate globala txikitzat jotzen da, ikasketen diseinuak berez dituen muga metodologikoak direla eta. Muga batzuk daude egiteko alborapen-arriskuarekin lotuta. Izan ere, ikasketetan berezkoa da pazienteak eta langileak itsutzeko ezintasuna. Amaieran, ebidentziaren kalitatea baxutzat jo zen amaierarako, erantzunerako eta bizi-kalitaterako, eta oso baxutzat antsietate-amaierarako (ebaluazio klinikoa).",,,,,
sns1064_00011,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da pregabalinaren eraginkortasuna eta segurtasun konparatua plazeboaren aldean?",k) Aukera inplementa daiteke?,"Bai, bai.","2019ko apirilaren 1etik, pregabalina 1971ko Drogen erabilera desegokiari buruzko Legeak kontrolatzen du C motako substantzia gisa, eta 2001eko Drogen erabilera desegokiari buruzko Erregulazioen arabera programatuta daude, 3. zerrenda gisa. Tratamendu hori ezartzea bideragarria dirudien arren, TAGerako pregabalinaren preskripzioarekin lotutako zenbait alderdik, hala nola TAG erregogorrerako argibideak, ebaluatu egin behar izaten dute ea AEko pazienteak Osasun Mentalean egin beharreko balorazioaren ondoren jarraitu behar den.",,,,,
sns1064_00013,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da ekialdeko belar-medikuntzaren eraginkortasuna eta segurtasun konparatua antsiolitikoen eta plazeboaren aurrean?",c) Zein da ziurtasun globala efektuei buruzko ebidentzian?,Oso baxua da.,"Ekialdeko belar-medikuntzaren eta plazeboaren arteko konparazioa: ebidentziaren kalitate globala oso baxutzat jo zen, zeren eta: antsietate-mailaren efektuaren ICak erabaki klinikoaren atalasea gurutzatzen baitu (6 puntu Hamiltonen antsietate-eskalan), eta, beraz, esku-hartzeari buruzko erabaki kliniko desberdina har daiteke, beheko edo goiko muga kontuan hartzen den kontuan hartuta. Emaitzek funtsezko heterogeneotasun bat erakusten dute, azpitaldeen analisiak azaltzen ez duena, eta segidako arriskua dago, pazienteak, langileak eta emaitzen ebaluatzaileak ezin izan zirelako itsutu. Ebidentzia-kalitatea txikitzat jo zen, eta, ondorioz, oso gutxi izan ziren emaitzak.",,,,,
sns1064_00014,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da terapia metakognitiboaren eraginkortasuna eta segurtasun konparatua?",j) Onargarria al da inplikatutako eragileentzako aukera?,Seguruenik bai.,"Ez da identifikatu terapia metakognitiboaren onargarritasuna berariaz ebaluatzen duen azterlanik. terapia metakognitiboaren taldean % 13,4ko abandonuak izan ziren kontuan hartutako ECAetan, eta % 2,4koa kontrolean. Diferentzia hori ez da esanguratsua (97,98). GAGk egindako azterketa kualitatiboaren arabera, faktore hauek pazienteen tratamendu psikologikoen onargarritasuna errazten dute:  Antsietate-krisialdietan dauden profesionalen irisgarritasuna (saio-kopurua handituz edo telefono bidezko sarbidea handituz, une larrietan).  Astean behingo saioak jasotzea, sintomarik garrantzitsuenak maneiatzea lortu arte.  Informazioa ematea eta esperientzia pertsonaletara egokitutako tresnak.",,,,,
sns1064_00015,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da antsiolitikoekin konbinatutako ekialdeko belar-medikuntzaren eraginkortasuna eta segurtasun konparatua?",g) Zein da baliabideei buruzko ebidentziaren inguruko ziurtasuna?,Ez dago azterketarik barne.,Galderari erantzungo zioten azterlanik ez zen identifikatu.,,,,,
sns1064_00016,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da galphimia glaukoaren eraginkortasuna eta segurtasun konparatua lorazepamaren aurrean?","h) Esku-hartzearen kostua-eraginkortasuna, esku-hartzeari laguntzen al dio?",Ezezaguna da.,Galderari erantzungo zioten azterlanik ez zen identifikatu.,,,,,
sns1064_00017,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da terapia metakognitiboaren eraginkortasuna eta segurtasun konparatua?",d) Ba al dago ziurgabetasun edo aldakortasun handirik nola,Ziurgabetasuna edo aldakortasuna ez dira garrantzitsuak.,Ezin izan da identifikatu AOTa duten pertsonek amaiera desberdinei ematen dieten balioaren berri ematen duten azterlanik.GGAk uste du ez dela oso litekeena pazienteek amaiera nagusiak nola baloratzen dituzten aldatzea.,,,,,
sns1064_00018,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da galphimia glaukoaren eraginkortasuna eta segurtasun konparatua lorazepamaren aurrean?",a) Zein da espero diren ondorioen magnitudea?,Esanguragabea da,"2 ECA (223 zbk) (218,219) izan ziren, eta horietatik 52 glauko galphimia-estraktuarekin tratatu ziren (350-700 g/d), 55 g/d galphimia glauka-estraktuarekin, 57 1-2 mg/d lorazepam-rekin tratatu ziren eta beste 59 parte-hartzaile 2 mg/d lorazepam-rekin. Tratamenduaren iraupena 4 eta 12 aste bitartekoa izan zen. GPC ANSIDAD GEN TRATAMENDU OROKORRALDIKO TRATAMENDURAKO GRAZELA: 141.",,,,,
sns1064_00019,SNS1064,train,ansiedad.txt,"TAG duten helduen kasuan, zein da kamomila-estraktuaren eraginkortasuna eta segurtasun konparatua plazeboaren aldean?",g) Zein da baliabideei buruzko ebidentziaren inguruko ziurtasuna?,Ez dago azterketarik barne.,Galderari erantzungo zioten azterlanik ez zen identifikatu.,,,,,
sns1064_00020,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da antsiolitikoekin konbinatutako ekialdeko belar-medikuntzaren eraginkortasuna eta segurtasun konparatua?",c) Zein da ziurtasun globala efektuei buruzko ebidentzian?,Baja ematen du.,"Ebidentziaren kalitate globala baxutzat jo zen, efektuaren ICak erabaki klinikoaren atalasea gurutzatzen duelako (erabaki kliniko desberdina har daiteke esku-hartzeari dagokionez, beheko edo goiko muga kontuan hartzen den kontuan hartuta) antsietatearen aldagaian (6 puntu Hamiltonen antsietate-eskalan) eta kontrako gertaeretan (ehuneko 12 puntu), emaitzek heterogeneotasun moderatua eta funtsezkoa dutelako, azpitaldeen analisiak azaldu ez duena, eta alborapen-arriskua dagoelako pazienteak, langileak eta emaitzen ebaluatzailea itsutzea ezinezkoa izan zelako.",,,,,
sns1064_00021,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da serotonina birkaptatzeko inhibitzaile selektiboen eraginkortasuna eta segurtasun konparatua plazeboaren aurrean?",i) Zein izango litzateke ekitateak osasunean izango lukeen eragina?,Seguruenik ez du eraginik.,"Gaur egun, sertralinak ez du AOT duten helduak tratatzeko fitxa teknikorik, eta preskripzioak baliabide gutxien dituzten herritarrek eta autonomia-erkidegoek edo lurraldeek tratamendua eskuratzeko aukeran berdintasunik eza eragin lezake.",,,,,
sns1064_00022,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da mindfulnessaren eraginkortasuna eta segurtasun konparatua?","h) Esku-hartzearen kostua-eraginkortasuna, esku-hartzeari laguntzen al dio?",Ezezaguna da.,Osasun fisiko eta/edo mentaleko beste arazo batzuetan argi dago Mindfulness-en oinarritutako terapiak eraginkorragoak eta konparadorea baino merkeagoak izan daitezkeela (131).,,,,,
sns1064_00024,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da serotonina birkaptatzeko inhibitzaile selektiboen eraginkortasuna eta segurtasun konparatua plazeboaren aurrean?",a) Zein da espero diren ondorioen magnitudea?,Moderatua da.,"Guztira 5737 ECA izan ziren TAGekin, 3266 ISRSrekin tratatuak, eta 2471 tratamendu plazeboarekin (132–146). 15 ECAtik 6 ECAk (1.990 zbk) ebaluatzen dute eszitalopramaren eragina (136-138,141-143), 4 ECA (n 1.600) paroxetinarenak (132,138-140), 3 ECAk (n1.066) sertralinarenak (133–135) eta 3 EAEk bilazodonarenak (11.475-146). 81. LEHEN ARRETAKO ANTSIEDAD OROKORRA TRATATZEKO KPIa edo, paroxetinaren kasuan, 1.000 pazienteko arriskua handitu egiten da. Azpitaldearen analisian, aldeak hauteman ziren hainbat dosi jaso zituzten pazienteen artean funtsezkotzat jotzen ziren amaieran: Vilazodona: Antsietate mailak 20 mg: ez du eraginik 40 mg: ez du eraginik 20-40 mg: efektu txikia Erantzun probabilitatea 20 mg: ez du eraginik 40 mg: 139 paziente gehiago 1.000 20-40 mg bakoitzeko: 134 paziente gehiago gertaera kaltegarrien arrisku bakoitzeko 20 mg: 94 paziente gehiago 1.000 40 mg bakoitzeko: ez du eraginik 20-40 mg: 186 paziente gehiago 1.000 paroxetinako: 20 mg igortzeko probabilitatea: 113 paziente gehiago 1.000 40 mg bakoitzeko: 330 paziente gehiago 1.000 20-50 mg bakoitzeko: 134 paziente gehiago gertaera kaltegarrien arrisku bakoitzeko (ez dira zehazten zeintzuk) 20 mg: 136 paziente gehiago 1.000 40 mg bakoitzeko: 112 paziente gehiago 1.000 20-50 mg bakoitzeko: Informazio gehiago nahi izanez gero, material metodologikoan eskuragarri dauden GRADE ebidentzia-profilak kontsulta daitezke.",,,,,
sns1064_00025,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da kavaren eraginkortasuna eta segurtasun konparatua plazeboaren aurrean?",a) Zein da espero diren ondorioen magnitudea?,Garrantzi gutxikoa da.,"3 ECA (n 130) (220–222) kontsideratu ziren, horietatik 63 Kavarekin tratatuak izan ziren eta 67k plazeboa jaso zuten. Tratamenduaren iraupena 3 eta 8 aste bitartekoa izan zen. Emaitzek erakusten dutenez, TAG duten helduetan, kava bidezko tratamenduak plazeboaren aurrean: Ez ditu antsietate-mailak aldatzen. Ez du erantzun-tasa aldatzen. Informazio gehiago nahi izanez gero, GRADE ebidentzia-profilak kontsulta daitezke.",,,,,
sns1064_00026,SNS1064,train,ansiedad.txt,"AOT duten helduetan, zein da Quetiapinaren eraginkortasuna eta segurtasuna plazeboaren aurrean?",c) Zein da ziurtasun globala efektuei buruzko ebidentzian?,Alta emanda dago.,"Azken finean, ebidentziaren kalitatea neurrizkotzat jo zen antsietate eta bizi-kalitatearen amaierarako, eta altutzat erantzun, igorpen eta kontrako gertaeretarako.",,,,,
sns1064_00027,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da serotonina birkaptatzeko inhibitzaile selektiboen eraginkortasuna eta segurtasun konparatua plazeboaren aurrean?","h) Esku-hartzearen kostua-eraginkortasuna, esku-hartzeari laguntzen al dio?","Seguruenik, esku-hartzea erraztuko du.","Identifikatutako ebaluazio ekonomiko bakarraren arabera, sertralina (ISRS) eraginkorragoa da kalitatearen arabera doitutako bizitza-urteetan (AVAC) eta Erresuma Batuan plazeboa baino merkeagoa (147).",,,,,
sns1064_00028,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da pasiflora-estraktuaren eraginkortasuna eta segurtasun konparatua oxazepamaren aldean?",j) Onargarria al da inplikatutako eragileentzako aukera?,Seguruenik bai.,"Tratamendu farmakologikoen onargarritasuna aldakorra da eraginkortasunaren pertzepzioan edo bigarren mailako efektuen presentzian. Aztertutako ECAn, pasifloraz tratatutako parte-hartzaileen taldeko uzte-tasa oxazepamarekin tratatutako taldearen berdina da (18tik 2). Oro har, landareetan oinarritutako produktuak sendagaiak baino seguruagotzat hartzen dira.",,,,,
sns1064_00029,SNS1064,train,ansiedad.txt,"OTA duten helduetan, zein da onarpen- eta konpromiso-terapiaren eraginkortasuna eta segurtasun konparatua?",d) Ba al dago ziurgabetasun edo aldakortasun handirik nola,Ziurgabetasuna edo aldakortasuna ziurrenik ez dira garrantzitsuak.,Ezin izan da identifikatu AOTa duten pertsonek amaiera desberdinei ematen dieten balioaren berri ematen duten azterlanik.GGAk uste du ez dela oso litekeena pazienteek amaiera nagusiak nola baloratzen dituzten aldatzea.,,,,,
sns1064_00032,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da ekialdeko belar-medikuntzaren eraginkortasuna eta segurtasun konparatua antsiolitikoen eta plazeboaren aurrean?",i) Zein izango litzateke ekitateak osasunean izango lukeen eragina?,Seguruenik murriztua.,"Galderari erantzungo zioten azterlanik ez zen identifikatu. Finantzatu gabeko produktuak direnez, tratamendu horren kostua pazienteak bere gain hartuko luke oso-osorik. Horrek tratamendu hori eskuratze-mailaren araberako ezberdintasun bat eragin dezake. Gainera, belartegietan saltzen diren produktuak direnez, horien gomendioak ere desberdintasuna eragin lezake sarbidean, bizilekuaren ondorioz, establezimendu horiek ez baitira hain ohikoak landa-inguruneetan.",,,,,
sns1064_00033,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da kavaren eraginkortasuna eta segurtasun konparatua plazeboaren aurrean?",i) Zein izango litzateke ekitateak osasunean izango lukeen eragina?,Seguruenik murriztua.,"Ez zen identifikatu galderari erantzuten zioten azterlanik. Finantzatu gabeko produktua denez, pazienteak bere gain hartuko luke bere kostu osoa. Horrek ezberdintasun bat eragin dezake tratamendu hori eskuratze-mailaren arabera. Gainera, belar-dendetan saltzen den produktua denez, haren gomendioak desberdintasuna eragin dezake sarbidean, bizilekua dela-eta, establezimendu horiek ez baitira hain ohikoak landa-inguruneetan.",,,,,
sns1064_00034,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da galphimia glaukoaren eraginkortasuna eta segurtasun konparatua lorazepamaren aurrean?",f) Zein da eskatutako baliabideen magnitudea (kostuak)?,Kostuak eta kostuen murrizketa hutsalak.,"Galderari erantzungo zioten azterlanik ez zen identifikatu.Finantzatu gabeko produktua denez, tratamendu horren kostua pazienteak bere gain hartuko luke oso-osorik. Aurkezpen eta konbinazio desberdinak egon daitezke beste sendabelar batzuekin. Salmenta-kanal desberdinak daude eta prezioak asko alda daitezke.",,,,,
sns1064_00035,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da antsiolitikoekin konbinatutako ekialdeko belar-medikuntzaren eraginkortasuna eta segurtasun konparatua?",k) Aukera inplementa daiteke?,Aldakorra da.,Ekialdeko belar medikuntza ez dago APn erabiltzen diren programetako botika edo produktu dietoterapikoen errepertorio guztietan sartuta.,,,,,
sns1064_00036,SNS1064,train,ansiedad.txt,"OTA duten helduetan, zein da opipramolaren eraginkortasuna eta segurtasun konparatua plazeboaren aurrean?",a) Zein da espero diren ondorioen magnitudea?,Garrantzi gutxikoa da.,"ECA bakartzat jo zen, guztira 208 pertsona OTArekin; 101 opipramolarekin tratatu ziren eta 107 plazeboarekin 28 egunez (184). Emaitzek erakusten dutenez, opipramol bidezko tratamenduak TAG duten helduen plazeboaren aurrean: Ez ditu antsietate-mailak aldatzen. Ez du aldatzen kontrako gertaeren arriskua, sistema gastrointestinalari lotuta egon baitziren. Hala ere, ez da gertakarien izaera, larritasuna eta iraupenari buruzko informaziorik ematen. Informazio gehiago nahi izanez gero, GRADE ebidentzia-profilak kontsulta daitezke material metodologikoan.",,,,,
sns1064_00037,SNS1064,train,ansiedad.txt,"AOT duten helduetan, zein da erlaxazio-terapiaren eraginkortasuna eta segurtasun konparatua?",d) Ba al dago ziurgabetasun edo aldakortasun handirik nola,Ziurgabetasuna edo aldakortasuna ez dira garrantzitsuak.,Ezin izan da identifikatu AOTa duten pertsonek amaiera desberdinei ematen dieten balioaren berri ematen duten azterlanik.GGAk uste du ez dela oso litekeena pazienteek amaiera nagusiak nola baloratzen dituzten aldatzea.,,,,,
sns1064_00038,SNS1064,train,ansiedad.txt,"TAG duten helduen kasuan, zein da kamomila-estraktuaren eraginkortasuna eta segurtasun konparatua plazeboaren aldean?",d) Ba al dago ziurgabetasun edo aldakortasun handirik nola,"Ziurgabetasuna edo aldakortasuna, ziurrenik, garrantzitsuak izango dira. LEHEN ARRETAKO ANTSIEDATE NAGUSIAREN TRATAMENDURAKO GPC 131",Ezin izan da identifikatu AOTa duten pertsonek amaiera desberdinei ematen dieten balioaren berri ematen duten azterlanik.GGAk uste du ez dela oso litekeena pazienteek amaiera nagusiak nola baloratzen dituzten aldatzea.,,,,,
sns1064_00040,SNS1064,train,ansiedad.txt,"TAG duten helduetan, zein da silexanaren (izpilikuaren estraktua) eraginkortasuna eta segurtasun konparatua lorazepamaren eta plazeboaren aurrean?",f) Zein da eskatutako baliabideen magnitudea (kostuak)?,Ezezaguna da.,"Galderari erantzungo zioten azterlanik ez zen identifikatu.Finantzatu gabeko produktua denez, tratamendu horren kostua pazienteak bere gain hartuko luke oso-osorik. Aurkezpen, kontzentrazio eta konbinazio desberdinak egon daitezke beste sendabelar batzuekin. Salmenta-kanal desberdinak daude eta prezioak asko alda daitezke.",,,,,
sns1064_00041,SNS1064,train,ansiedad.txt,"OTA duten helduetan, zein da opipramolaren eraginkortasuna eta segurtasun konparatua plazeboaren aurrean?",i) Zein izango litzateke ekitateak osasunean izango lukeen eragina?,Seguruenik ez du eraginik.,Galderari erantzungo zioten azterlanik ez zen identifikatu.,,,,,
