id,source,split,guidebook,topic,question,short_answer,evidence,subquestion,options,correct_answer
sns1064_00000,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la galphimia glauca frente al lorazepam?",c) ¿Cuál es la certeza global en la evidencia sobre los efectos?,Muy baja.,"La calidad global de la evidencia fue considerada muy baja para la dosis de 350-700 µg/d de galphimia glauca y baja para la dosis de 700 µg/d. En los dos estudios considerados, la información es insuficiente para permitir el juicio en los dominios de selección de los participantes y de resultados informados por los participantes. Adicionalmente, en uno de los estudios (219), el dominio de deserción presenta un alto riesgo de sesgo debido a que no se informó de los valores P exactos ni de todos los resultados pre-especificados para los puntos de evaluación. Por desenlace, la calidad de la evidencia fue considerada baja para el desenlace ansiedad con una dosis de 700 µg/d y muy baja para el de ansiedad con una dosis de entre 350 y 700 µg/d.",,,
sns1064_00001,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de aceptación y compromiso?","h) El coste-efectividad de la intervención, ¿favorece a la",Desconocido.,No se identificaron estudios que respondieran a la pregunta.,,,
sns1064_00002,SNS1064,test,ansiedad.txt,¿Cuáles son los criterios de derivación de pacientes con TAG a atención especializada en salud mental?,a) ¿Cuál es la magnitud de los efectos deseables esperados?,Grande.,"No aplicable.

Las recomendaciones responden a principios generales de buena práctica de actuación y el GAG considera que los efectos deseables de las acciones recomendadas son sustanciales.",,,
sns1064_00003,SNS1064,dev,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la buspirona frente al placebo?",f) ¿Cuál es la magnitud de los recursos requeridos (costes)?,Desconocido.,No se aportan datos debido a que la buspirona no está comercializada en España.,,,
sns1064_00004,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los programas de ejercicio físico de resistencia frente al control?",k) ¿Es factible la implementación de la opción?,Probablemente no.,"No se identificaron estudios que respondieran a la pregunta.

Actualmente no existe una estrategia nacional para la promoción del ejercicio en pacientes con TAG. Las propuestas existentes son escasas e individuales. Para la correcta implementación de la recomendación del uso de programas de ejercicio físico se debería contar con un equipo de expertos para llevarlos a cabo y material para el entrenamiento (prensa, máquina de press, banca, pesas, etc.). La implementación conllevaría costes de personal, formación y material.",,,
sns1064_00005,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de aceptación y compromiso?",i) ¿Cuál sería el impacto en la equidad en salud?,Probablemente reducido.,"No se identificaron estudios que respondieran a la pregunta.

En España, la derivación a los servicios de psiquiatría, psicología, trabajo social y otros es muy variable según los casos. Esta inequidad en el acceso no parece basarse en criterios clínicos, sino posiblemente en diferencias territoriales de acceso a los diferentes servicios. Existen algunos proyectos piloto para implementar la presencia del profesional de psicología clínica en AP (Canarias, Cataluña, Madrid o Asturias). Entre los criterios de derivación a las consultas de psicología clínica de AP, se encuentra el diagnóstico de TAG. Sin embargo, su implantación no es homogénea en todo el SNS.",,,
sns1064_00006,SNS1064,train,ansiedad.txt,¿Cuáles son los criterios de derivación de pacientes con TAG a atención especializada en salud mental?,f) ¿Cuál es la magnitud de los recursos requeridos (costes)?,Costes y reducción de costes insignificante.,"No se identificaron estudios que respondieran a la pregunta.

El GAG concluyó que la implementación de estas recomendaciones no generaría costes adicionales, ya que estos puntos ya deberían constituir una práctica actual.",,,
sns1064_00007,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la buspirona frente al placebo?","h) El coste-efectividad de la intervención, ¿favorece a la",Desconocido.,No se identificaron evaluaciones económicas en las que se comparasen buspirona con placebo o cuidados habituales. GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 109,,,
sns1064_00008,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de aceptación y compromiso?",f) ¿Cuál es la magnitud de los recursos requeridos (costes)?,Costes moderados.,"No se identificaron estudios que respondieran a la pregunta. GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 65

El coste de una terapia de aceptación y compromiso sería parecido al coste de una TCC tradicional. En el País Vasco, tanto la psicoterapia de grupo como la individual tiene el coste unitario de 124 € (108). Por tanto, una TCC-i de 8-12 sesiones tendría un coste de entre 992 € y 1488 € por paciente. El resto de CCAA no proporciona el coste de psicoterapia individual y grupal.",,,
sns1064_00009,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia psicodinámica?",c) ¿Cuál es la certeza global en la evidencia sobre los efectos?,Baja.,"La calidad global de la evidencia se considera baja, debido a las limitaciones metodológicas inherentes al diseño de los estudios. Existen limitaciones relacionadas con el riesgo de sesgo de realización ya que en los estudios es inherente la imposibilidad de llevar a cabo el cegamiento de los pacientes y del personal. Por desenlace, la calidad de la evidencia fue considerada baja para el desenlace remisión, respuesta y calidad de vida; y muy baja para el desenlace ansiedad (evaluación clínica).",,,
